t,symbol,res,r,velocity,zscore,signal
2026-01-05 02:20:00+00:00,EURUSD=X,WIN,2.5,-0.20764460582032135,-2.0847798412288316,1.1254
2026-01-05 02:25:00+00:00,EURUSD=X,WIN,2.5,-0.23441690087912784,-2.040205140994763,1.1139
2026-01-05 02:35:00+00:00,EURUSD=X,WIN,2.5,-0.2874882205039897,-2.3901849381123252,1.3101
2026-01-05 02:40:00+00:00,EURUSD=X,WIN,2.5,-0.36146024384793224,-2.4075633498887723,1.3484
2026-01-05 02:45:00+00:00,EURUSD=X,WIN,2.5,-0.41268009888754115,-2.323718238173689,1.3269
2026-01-05 02:50:00+00:00,EURUSD=X,WIN,2.5,-0.42999178995098786,-2.019453040719612,1.1817
2026-01-05 02:55:00+00:00,EURUSD=X,WIN,2.5,-0.47492864933727985,-1.952486015713621,1.1662
2026-01-05 03:05:00+00:00,EURUSD=X,WIN,2.5,-0.46577895748284454,-2.05750559126834,1.2151
2026-01-05 03:10:00+00:00,EURUSD=X,WIN,2.5,-0.4849544961946074,-2.1944981972370385,1.2912
2026-01-05 03:15:00+00:00,EURUSD=X,WIN,2.5,-0.5026787036054797,-2.2196758610035627,1.3109
2026-01-05 03:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.4596394390993167,-2.6364304036703254,1.5021
2026-01-05 03:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.4916535423685468,-2.6117431283342265,1.5025
2026-01-05 03:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.530898366122292,-2.587156044117722,1.5059
2026-01-05 03:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.5243271651784877,-2.2896656200465886,1.3546
2026-01-05 03:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.5236494639019486,-2.108757879180544,1.2638
2026-01-05 03:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.5251601617602061,-2.035180165575049,1.2277
2026-01-05 03:50:00+00:00,EURUSD=X,WIN,2.5,-0.5034631844237861,-1.8783370084744673,1.1406
2026-01-05 03:55:00+00:00,EURUSD=X,LOSS,-1.0,-0.47509512574305796,-1.903680318893812,1.1419
2026-01-05 12:50:00+00:00,EURUSD=X,WIN,2.5,-0.10442024386793415,-2.8957406157133283,1.4896
2026-01-05 12:55:00+00:00,EURUSD=X,WIN,2.5,-0.1420219077111474,-3.6928168713678,1.9032
2026-01-05 13:00:00+00:00,EURUSD=X,WIN,2.5,-0.18318727641740915,-4.246843079167418,2.0733
2026-01-05 13:05:00+00:00,EURUSD=X,LOSS,-1.0,-0.239353382757268,-4.332910360159828,2.0957
2026-01-05 13:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.29566966893707997,-3.9260902541234355,2.0813
2026-01-05 13:15:00+00:00,EURUSD=X,WIN,2.5,-0.32131875821742467,-3.177676239747614,1.7174
2026-01-05 13:20:00+00:00,EURUSD=X,WIN,2.5,-0.3382741074770312,-2.9768581389934035,1.6237
2026-01-05 13:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.3753887307755637,-3.3909729674076226,1.8456
2026-01-05 13:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.388198286145338,-2.962447506810629,1.6365
2026-01-05 13:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.39872949492522874,-3.3105276760490785,1.8148
2026-01-05 13:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.4243926864442704,-3.0747370373605047,1.7071
2026-01-05 13:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.4220221428246188,-2.3849697750922787,1.3613
2026-01-05 15:15:00+00:00,EURUSD=X,WIN,2.5,0.4230986307651915,2.015309580066815,1.1769
2026-01-05 15:30:00+00:00,EURUSD=X,WIN,2.5,0.3539171810505797,1.9875706457120164,1.1354
2026-01-05 15:55:00+00:00,EURUSD=X,WIN,2.5,0.36617675410038325,2.138717919516876,1.2158
2026-01-05 16:00:00+00:00,EURUSD=X,WIN,2.5,0.38048914370630277,2.597035836389397,1.4507
2026-01-05 16:05:00+00:00,EURUSD=X,WIN,2.5,0.3928828018123669,2.319242575548319,1.3168
2026-01-05 16:10:00+00:00,EURUSD=X,WIN,2.5,0.39346802793306423,2.46234375479625,1.3886
2026-01-05 16:15:00+00:00,EURUSD=X,WIN,2.5,0.3865381205106657,2.205531222221208,1.2574
2026-01-05 16:20:00+00:00,EURUSD=X,WIN,2.5,0.366214530748381,2.0985315976708168,1.1958
2026-01-05 16:25:00+00:00,EURUSD=X,WIN,2.5,0.35571196633785335,2.1180111412378793,1.2013
2026-01-05 16:30:00+00:00,EURUSD=X,WIN,2.5,0.33834219633062185,2.578888590846996,1.4248
2026-01-05 16:35:00+00:00,EURUSD=X,WIN,2.5,0.3286400105433131,2.3232066949929138,1.2931
2026-01-05 16:40:00+00:00,EURUSD=X,WIN,2.5,0.3543251179193491,2.1002222716503574,1.1918
2026-01-05 16:45:00+00:00,EURUSD=X,WIN,2.5,0.3554195375409009,2.1070445237018465,1.1957
2026-01-06 01:55:00+00:00,EURUSD=X,WIN,2.5,0.2767499229315786,2.0518151239665956,1.1366
2026-01-06 02:00:00+00:00,EURUSD=X,WIN,2.5,0.3217127360024556,2.0381081888641868,1.1477
2026-01-06 02:05:00+00:00,EURUSD=X,WIN,2.5,0.3420819571484568,2.015727835822941,1.1447
2026-01-06 02:40:00+00:00,EURUSD=X,WIN,2.5,0.35125029018046744,2.3850452809934315,1.333
2026-01-06 02:45:00+00:00,EURUSD=X,WIN,2.5,0.3434316200106211,3.4008909685071402,1.8378
2026-01-06 02:50:00+00:00,EURUSD=X,LOSS,-1.0,0.35528119118194224,3.4780671623010435,1.8811
2026-01-06 02:55:00+00:00,EURUSD=X,LOSS,-1.0,0.3792327836975278,3.759874566357088,2.0316
2026-01-06 03:00:00+00:00,EURUSD=X,LOSS,-1.0,0.380412747094101,3.063651543638346,1.684
2026-01-06 03:05:00+00:00,EURUSD=X,WIN,2.5,0.34407551540281434,2.4510560878358905,1.3632
2026-01-06 03:10:00+00:00,EURUSD=X,WIN,2.5,0.3377368243366636,2.5929390755945816,1.4316
2026-01-06 03:15:00+00:00,EURUSD=X,LOSS,-1.0,0.3473162167713945,2.71574845844413,1.4968
2026-01-06 03:20:00+00:00,EURUSD=X,LOSS,-1.0,0.3652414543989983,2.815990034341049,1.5541
2026-01-06 03:25:00+00:00,EURUSD=X,LOSS,-1.0,0.37364123207770383,2.473101266096578,1.386
2026-01-06 03:30:00+00:00,EURUSD=X,LOSS,-1.0,0.37274626883907963,2.37257049238129,1.3354
2026-01-06 03:35:00+00:00,EURUSD=X,LOSS,-1.0,0.3841642816083225,2.6839380026318014,1.4956
2026-01-06 03:40:00+00:00,EURUSD=X,LOSS,-1.0,0.4055424030282193,2.5584932532966445,1.4415
2026-01-06 03:45:00+00:00,EURUSD=X,LOSS,-1.0,0.37991759344316955,2.0575312957388237,1.1807
2026-01-06 03:50:00+00:00,EURUSD=X,LOSS,-1.0,0.37328814850965075,1.9865709593558907,1.1426
2026-01-06 03:55:00+00:00,EURUSD=X,LOSS,-1.0,0.3543064786034689,1.92176974066391,1.1026
2026-01-06 09:15:00+00:00,EURUSD=X,WIN,2.5,-0.221374102674293,-2.0401263782592665,1.1086
2026-01-06 09:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.2585413687618533,-2.3639821303433113,1.2854
2026-01-06 09:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.3050433933228209,-2.4907705269298663,1.3674
2026-01-06 09:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.3661686811360776,-2.6101219733993757,1.4515
2026-01-06 09:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.4487919523741377,-2.694996171286589,1.527
2026-01-06 09:40:00+00:00,EURUSD=X,WIN,2.5,-0.4458285422282149,-1.865529486057787,1.1111
2026-01-06 10:00:00+00:00,EURUSD=X,LOSS,-1.0,-0.3413983047443561,-2.0492874498318923,1.1612
2026-01-06 15:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.3085182232669933,-2.0374209684524325,1.1421
2026-01-06 15:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.3404791293212306,-2.10060808017,1.1865
2026-01-07 01:50:00+00:00,EURUSD=X,LOSS,-1.0,0.3125476540478593,2.1676838437460666,1.2089
2026-01-07 07:35:00+00:00,EURUSD=X,WIN,2.5,-0.10398886032394192,-2.710951623690359,1.3971
2026-01-07 07:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.2176173379654137,-2.787358820315629,1.4807
2026-01-07 07:50:00+00:00,EURUSD=X,WIN,2.5,-0.2728523565358152,-2.359739538350589,1.289
2026-01-07 07:55:00+00:00,EURUSD=X,WIN,2.5,-0.3213173523149738,-2.261690484001456,1.2594
2026-01-07 08:00:00+00:00,EURUSD=X,WIN,2.5,-0.3638952038020266,-2.948082584955422,1.6196
2026-01-07 08:05:00+00:00,EURUSD=X,LOSS,-1.0,-0.42584195288190674,-3.015386088530483,1.678
2026-01-07 08:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.4969821720987744,-3.0636900154893887,1.7306
2026-01-07 08:15:00+00:00,EURUSD=X,WIN,2.5,-0.5124596781310363,-2.417561480531286,1.4138
2026-01-07 08:20:00+00:00,EURUSD=X,WIN,2.5,-0.534741695994578,-2.52413601206086,1.476
2026-01-07 08:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.5329295727572787,-2.812954503543649,1.6196
2026-01-07 08:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.47517060120623344,-2.0336679469963537,1.2069
2026-01-07 19:15:00+00:00,EURUSD=X,LOSS,-1.0,-0.16751196481935934,-2.309364289653292,1.2217
2026-01-07 19:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.1923215956917646,-2.204346068336867,1.1791
2026-01-07 19:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.2121105633054201,-2.1079892110732814,1.1388
2026-01-07 19:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.22627750488834672,-2.023371815548265,1.1022
2026-01-07 21:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.33424705905905727,-1.9979496910574683,1.1327
2026-01-08 08:15:00+00:00,EURUSD=X,WIN,2.5,-0.12071943817384685,-2.4674706351865114,1.282
2026-01-08 08:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.1612839155666258,-2.8621511365657133,1.4956
2026-01-08 08:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.1734156456431553,-2.658800520299756,1.3988
2026-01-08 08:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.20231860575778268,-2.9922718927761838,1.5771
2026-01-08 08:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.2171297043398521,-2.3851539923806304,1.2794
2026-01-08 08:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.24239309881737922,-3.1255128278735196,1.6597
2026-01-08 08:50:00+00:00,EURUSD=X,LOSS,-1.0,-0.28187772907461456,-2.5313245408160854,1.3784
2026-01-08 08:55:00+00:00,EURUSD=X,LOSS,-1.0,-0.29994076702489836,-2.0051703469660374,1.1226
2026-01-08 13:30:00+00:00,EURUSD=X,WIN,2.5,-0.03378428319735048,-2.266411064326993,1.1467
2026-01-08 13:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.08113383333871237,-3.534693995764679,1.7998
2026-01-08 13:50:00+00:00,EURUSD=X,LOSS,-1.0,-0.15260009314340167,-3.7765316011568895,1.9493
2026-01-08 13:55:00+00:00,EURUSD=X,WIN,2.5,-0.17413764383257402,-2.713078864140697,1.4262
2026-01-08 14:05:00+00:00,EURUSD=X,WIN,2.5,-0.20691809196241265,-2.2507032915279597,1.2081
2026-01-08 14:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.2466315654729733,-2.909505576108963,1.5534
2026-01-08 14:15:00+00:00,EURUSD=X,LOSS,-1.0,-0.28720053427837544,-3.2118216590678164,1.7208
2026-01-08 14:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.29105090867852373,-2.327033273950849,1.2799
2026-01-08 14:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.3112560004953005,-2.6650361319067812,1.457
2026-01-08 14:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.3319587991005835,-2.3133700081354425,1.2895
2026-01-08 14:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.3402274822706261,-2.208276773362988,1.2402
2026-01-08 14:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.29295090879724545,-2.2432457088692934,1.2388
2026-01-08 16:20:00+00:00,EURUSD=X,WIN,2.5,-0.07634252310303452,-2.603890089225523,1.3325
2026-01-08 16:30:00+00:00,EURUSD=X,WIN,2.5,-0.20465930339860114,-2.3923195868454825,1.278
2026-01-08 17:25:00+00:00,EURUSD=X,WIN,2.5,-0.2667585058626683,-2.1423505348091094,1.1779
2026-01-08 17:30:00+00:00,EURUSD=X,WIN,2.5,-0.2500985059717628,-2.0429715503493244,1.1215
2026-01-08 17:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.23389923355635167,-2.0931896822916043,1.1402
2026-01-09 07:15:00+00:00,EURUSD=X,WIN,2.5,-0.12834681040619644,-2.33046043752803,1.2166
2026-01-09 07:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.1630872869448288,-2.647726082758643,1.3891
2026-01-09 07:25:00+00:00,EURUSD=X,WIN,2.5,-0.18269641269709494,-2.1952365143290073,1.1707
2026-01-09 07:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.21760594550182175,-2.8158620069194926,1.495
2026-01-09 07:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.25621540047492636,-2.995733233005089,1.6004
2026-01-09 07:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.27634848559024566,-2.536068134322816,1.3786
2026-01-09 07:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.30089432316428155,-2.4279369477858666,1.3343
2026-01-09 13:40:00+00:00,EURUSD=X,LOSS,-1.0,0.07294188301734697,2.8357843229947495,1.4471
2026-01-09 14:25:00+00:00,EURUSD=X,WIN,2.5,0.016564124048919524,-2.6584097308960906,1.3226
2026-01-09 14:30:00+00:00,EURUSD=X,WIN,2.5,-0.012193529422123981,-2.557181741742325,1.2835
2026-01-09 14:35:00+00:00,EURUSD=X,WIN,2.5,-0.04427503290581254,-2.4816024203470795,1.2585
2026-01-09 14:40:00+00:00,EURUSD=X,WIN,2.5,-0.08417483291179133,-3.572662927589744,1.82
2026-01-09 14:45:00+00:00,EURUSD=X,WIN,2.5,-0.12639369030732628,-3.718171793192432,1.9096
2026-01-09 14:50:00+00:00,EURUSD=X,WIN,2.5,-0.1503311962757375,-2.8183677854337983,1.4693
2026-01-09 14:55:00+00:00,EURUSD=X,WIN,2.5,-0.1696963833192715,-2.3514707374336403,1.2436
2026-01-09 15:00:00+00:00,EURUSD=X,WIN,2.5,-0.1918316768228877,-3.3545758365141953,1.754
2026-01-09 15:05:00+00:00,EURUSD=X,LOSS,-1.0,-0.23446894267028767,-4.628257927694295,2.0938
2026-01-09 15:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.2542126098269894,-4.1644168811193785,2.1017
2026-01-09 15:15:00+00:00,EURUSD=X,LOSS,-1.0,-0.2923271455651472,-4.49832404858561,2.1169
2026-01-09 15:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.2675390662671149,-3.3784926786291285,1.7963
2026-01-09 15:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.27198015563768424,-3.157060580772934,1.6873
2026-01-12 00:00:00+00:00,EURUSD=X,LOSS,-1.0,-0.08155656022430435,-3.3730048263595007,1.7191
2026-01-12 00:15:00+00:00,EURUSD=X,LOSS,-1.0,0.08791774257637064,2.3310567032155833,1.2007
2026-01-12 00:30:00+00:00,EURUSD=X,WIN,2.5,0.18730419239570745,3.5632452717326375,1.8565
2026-01-12 00:35:00+00:00,EURUSD=X,WIN,2.5,0.2533838787590382,3.967480992763596,2.0851
2026-01-12 00:40:00+00:00,EURUSD=X,WIN,2.5,0.3254255042225201,4.17942336027749,2.1302
2026-01-12 00:45:00+00:00,EURUSD=X,WIN,2.5,0.3845596309602243,3.7126145985664034,2.0101
2026-01-12 00:50:00+00:00,EURUSD=X,WIN,2.5,0.43235552829799534,3.713431341861828,2.0297
2026-01-12 00:55:00+00:00,EURUSD=X,WIN,2.5,0.4984809112173309,3.556472325613776,1.9776
2026-01-12 01:00:00+00:00,EURUSD=X,WIN,2.5,0.5066263969948525,2.948133426832724,1.6767
2026-01-12 01:05:00+00:00,EURUSD=X,WIN,2.5,0.5518555077953677,3.0984557373973094,1.77
2026-01-12 01:10:00+00:00,EURUSD=X,LOSS,-1.0,0.5856995617802387,3.323499105786976,1.896
2026-01-12 01:15:00+00:00,EURUSD=X,LOSS,-1.0,0.6112219808225023,2.8026035849420485,1.6458
2026-01-12 01:20:00+00:00,EURUSD=X,LOSS,-1.0,0.6114846697156668,3.144432832684131,1.8168
2026-01-12 01:25:00+00:00,EURUSD=X,LOSS,-1.0,0.5834717028232704,2.5309908025876315,1.4989
2026-01-12 01:30:00+00:00,EURUSD=X,LOSS,-1.0,0.5452011960875905,2.0069680296768255,1.2216
2026-01-12 01:35:00+00:00,EURUSD=X,LOSS,-1.0,0.5100259835583185,1.9125968014499708,1.1603
2026-01-12 07:25:00+00:00,EURUSD=X,LOSS,-1.0,0.21049226939880167,2.049905505511717,1.1091
2026-01-12 07:55:00+00:00,EURUSD=X,LOSS,-1.0,0.26166688023396956,2.2150828188527165,1.2122
2026-01-12 08:00:00+00:00,EURUSD=X,LOSS,-1.0,0.28410323474429056,2.1760391763780254,1.2017
2026-01-12 08:05:00+00:00,EURUSD=X,LOSS,-1.0,0.30878766055699847,2.259057368536434,1.253
2026-01-12 08:50:00+00:00,EURUSD=X,LOSS,-1.0,0.0963258285130244,2.6261895996429145,1.3516
2026-01-12 08:55:00+00:00,EURUSD=X,WIN,2.5,0.10548958686121847,2.2477514666682272,1.1661
2026-01-12 09:05:00+00:00,EURUSD=X,LOSS,-1.0,0.14029389636085213,2.5636341989624003,1.3379
2026-01-12 09:15:00+00:00,EURUSD=X,LOSS,-1.0,0.15456773416876468,2.349720481639085,1.2367
2026-01-12 09:20:00+00:00,EURUSD=X,LOSS,-1.0,0.1644923060117572,2.128288933408355,1.1299
2026-01-12 09:25:00+00:00,EURUSD=X,LOSS,-1.0,0.16747089667056808,2.148545030494689,1.1413
2026-01-12 13:45:00+00:00,EURUSD=X,LOSS,-1.0,0.21521832359355017,2.159221085570915,1.1657
2026-01-13 00:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.1605531272202637,-2.151235039138207,1.1398
2026-01-13 00:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.15987373629763413,-2.089751788894351,1.1088
2026-01-13 00:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.1802082946861024,-2.4625160980995475,1.3033
2026-01-13 00:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.21583932890812485,-2.450238850078545,1.3115
2026-01-13 00:50:00+00:00,EURUSD=X,LOSS,-1.0,-0.23309627487527507,-2.0342366827294196,1.1104
2026-01-13 00:55:00+00:00,EURUSD=X,LOSS,-1.0,-0.24626774975742408,-2.055969909702476,1.1265
2026-01-13 01:05:00+00:00,EURUSD=X,WIN,2.5,-0.20299471401755986,-2.126045358117866,1.1442
2026-01-13 01:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.2145012213104587,-2.9036489266552863,1.5376
2026-01-13 01:15:00+00:00,EURUSD=X,LOSS,-1.0,-0.232938550025262,-2.7654598528437875,1.4759
2026-01-13 01:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.246737416807908,-2.6585517423719534,1.428
2026-01-13 01:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.25038213375592006,-2.5621244059168005,1.3812
2026-01-13 01:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.1893155895904512,-2.805749526273805,1.4786
2026-01-13 01:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.1775358376177461,-2.2926265143185605,1.2173
2026-01-13 01:50:00+00:00,EURUSD=X,LOSS,-1.0,-0.13634447933178687,-2.124591453119279,1.1168
2026-01-13 01:55:00+00:00,EURUSD=X,LOSS,-1.0,-0.1313653059503069,-2.3821818320740205,1.2436
2026-01-13 02:00:00+00:00,EURUSD=X,LOSS,-1.0,-0.14146331451428124,-2.2812055492828756,1.1972
2026-01-13 02:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.1238974310593093,-2.1686724250008638,1.1339
2026-01-13 06:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.12138036977088322,-2.188792872088106,1.1429
2026-01-13 06:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.21015673015707081,-2.4366435771568926,1.3024
2026-01-13 06:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.28037311098190176,-2.3779061938580273,1.3011
2026-01-13 06:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.3239557682994947,-1.9612699762407744,1.1102
2026-01-13 09:00:00+00:00,EURUSD=X,LOSS,-1.0,0.07170108979317592,2.533568004452931,1.2955
2026-01-13 09:30:00+00:00,EURUSD=X,LOSS,-1.0,0.10523015539076547,2.137561722439501,1.1109
2026-01-13 10:00:00+00:00,EURUSD=X,LOSS,-1.0,0.23668291388188334,2.258148276690681,1.2237
2026-01-13 12:55:00+00:00,EURUSD=X,WIN,2.5,-0.27020098033752066,-2.1643894606552734,1.1903
2026-01-13 13:05:00+00:00,EURUSD=X,WIN,2.5,-0.28147449045801914,-2.0319202739698237,1.1285
2026-01-13 13:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.318731225122031,-2.5139043528321516,1.3844
2026-01-13 13:15:00+00:00,EURUSD=X,LOSS,-1.0,-0.329916728169062,-2.125124608986898,1.1945
2026-01-13 13:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.35632301629899543,-2.5627770269594676,1.4239
2026-01-13 13:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.3735913510873679,-2.1818787298644238,1.2404
2026-01-13 15:15:00+00:00,EURUSD=X,WIN,2.5,-0.16214760766634978,-2.4678508072447376,1.2988
2026-01-13 15:20:00+00:00,EURUSD=X,WIN,2.5,-0.19445240856360474,-2.3492739941599687,1.2524
2026-01-13 15:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.25252639228955487,-2.951597032449296,1.5768
2026-01-13 15:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.31184216352980926,-2.9989959767499954,1.6242
2026-01-13 15:35:00+00:00,EURUSD=X,LOSS,-1.0,-0.34424399347522344,-2.5929586081187757,1.4342
2026-01-13 15:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.36131012332843276,-2.449219225669328,1.3691
2026-01-13 16:05:00+00:00,EURUSD=X,WIN,2.5,-0.2699046522533808,-2.7497361055029255,1.4828
2026-01-13 16:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.27395562996112993,-2.7443788644074294,1.4818
2026-01-13 16:15:00+00:00,EURUSD=X,LOSS,-1.0,-0.2874877126294158,-3.198830752810032,1.7144
2026-01-13 16:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.31149631063835503,-2.659427600353606,1.4543
2026-01-13 16:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.3185749392492249,-2.497001469408745,1.3759
2026-01-14 00:00:00+00:00,EURUSD=X,LOSS,-1.0,0.013532262595047527,-2.3314743358429677,1.1603
2026-01-14 00:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.06808963290076342,-2.6420472430952993,1.3483
2026-01-14 01:05:00+00:00,EURUSD=X,LOSS,-1.0,-0.07773072290048415,-2.44299504734863,1.2526
2026-01-14 01:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.09464979812967822,-2.721071665767939,1.3984
2026-01-14 01:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.08271222842855198,-2.1514983295816705,1.1088
2026-01-14 10:25:00+00:00,EURUSD=X,WIN,2.5,0.1231554392841544,2.2644316492255614,1.1815
2026-01-14 10:30:00+00:00,EURUSD=X,LOSS,-1.0,0.148651263896288,2.6185451919971605,1.3687
2026-01-14 10:35:00+00:00,EURUSD=X,WIN,2.5,0.14965673220030157,2.16726469527076,1.1435
2026-01-14 10:40:00+00:00,EURUSD=X,WIN,2.5,0.14436869944572647,2.111811885627703,1.1137
2026-01-14 10:45:00+00:00,EURUSD=X,LOSS,-1.0,0.1552169766998352,2.7989301327722194,1.4616
2026-01-14 10:50:00+00:00,EURUSD=X,LOSS,-1.0,0.19753566297622424,3.0072180465503573,1.5826
2026-01-14 10:55:00+00:00,EURUSD=X,LOSS,-1.0,0.19640022175026287,2.165063111668523,1.1611
2026-01-14 12:55:00+00:00,EURUSD=X,LOSS,-1.0,0.062275246702819434,3.0532441482253287,1.5515
2026-01-14 14:20:00+00:00,EURUSD=X,LOSS,-1.0,0.030028023716632116,2.2604563186384037,1.1422
2026-01-14 14:40:00+00:00,EURUSD=X,LOSS,-1.0,0.15126507981096773,2.4242282899610066,1.2726
2026-01-14 14:45:00+00:00,EURUSD=X,LOSS,-1.0,0.19184938814798896,2.3183825725953318,1.2359
2026-01-14 15:55:00+00:00,EURUSD=X,LOSS,-1.0,-0.04443336778448649,2.2753609216371,1.1199
2026-01-14 18:35:00+00:00,EURUSD=X,WIN,2.5,-0.37148090383663274,-1.9169300572016537,1.1071
2026-01-14 18:40:00+00:00,EURUSD=X,WIN,2.5,-0.37758741227329534,-2.118834969142608,1.2105
2026-01-14 18:45:00+00:00,EURUSD=X,WIN,2.5,-0.3708943209381999,-2.0257587257405576,1.1612
2026-01-14 18:50:00+00:00,EURUSD=X,WIN,2.5,-0.36433780260463355,-1.9452537853923295,1.1184
2026-01-14 19:00:00+00:00,EURUSD=X,LOSS,-1.0,-0.3221557151310148,-2.551183564569476,1.4045
2026-01-14 19:05:00+00:00,EURUSD=X,LOSS,-1.0,-0.32051667017977264,-2.184617835024548,1.2205
2026-01-14 19:10:00+00:00,EURUSD=X,LOSS,-1.0,-0.32981301026441323,-2.3420638072214373,1.303
2026-01-14 19:15:00+00:00,EURUSD=X,LOSS,-1.0,-0.32854712408436654,-2.000191917179735,1.1315
2026-01-14 19:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.3410274109598944,-2.146503963014675,1.2097
2026-01-14 19:30:00+00:00,EURUSD=X,LOSS,-1.0,-0.32509162103951034,-1.9680788359520496,1.1141
2026-01-15 06:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.1530563749929257,-2.176657887688334,1.1496
2026-01-15 07:20:00+00:00,EURUSD=X,LOSS,-1.0,-0.16458273537501575,-2.337331815104112,1.2345
2026-01-15 07:25:00+00:00,EURUSD=X,LOSS,-1.0,-0.19651875802052296,-2.573352831924733,1.3653
2026-01-15 07:40:00+00:00,EURUSD=X,LOSS,-1.0,-0.1962654290787117,-2.129442713757088,1.1432
2026-01-15 07:45:00+00:00,EURUSD=X,LOSS,-1.0,-0.18441127545570316,-2.0670435297657854,1.1073
2026-01-15 12:45:00+00:00,EURUSD=X,WIN,2.5,-0.0758748985444042,-2.2346794197644693,1.1477
2026-01-15 12:50:00+00:00,EURUSD=X,WIN,2.5,-0.07163100341235981,-2.1543040848129587,1.1058
2026-01-15 12:55:00+00:00,EURUSD=X,WIN,2.5,-0.1114821911808852,-4.050187505237935,2.0446
2026-01-15 13:00:00+00:00,EURUSD=X,LOSS,-1.0,-0.16826285758285878,-4.058316142978222,2.0673
2026-01-15 13:05:00+00:00,EURUSD=X,WIN,2.5,-0.18497530318689118,-2.729499869299909,1.4387
2026-01-15 13:10:00+00:00,EURUSD=X,WIN,2.5,-0.21943363109160552,-2.595246300660211,1.3854
